lemma	past_tense	type	pgt_error	lst_error
あきれかえる	あきれかえった	4-2	TRUE	TRUE
あざける	あざけった	4-2	TRUE	TRUE
あせる	あせった	4-2	TRUE	TRUE
あまがける	あまがけった	4-2	TRUE	TRUE
いきかえる	いきかえった	4-2	TRUE	TRUE
うらがえる	うらがえった	4-2	TRUE	TRUE
おいしげる	おいしげった	4-2	TRUE	TRUE
おさまりかえる	おさまりかえった	4-2	TRUE	TRUE
せる	せった	4-2	TRUE	TRUE
たちかえる	たちかえった	4-2	TRUE	TRUE
にげかえる	にげかえった	4-2	TRUE	TRUE
ねがえる	ねがえった	4-2	TRUE	TRUE
はねかえる	はねかえった	4-2	TRUE	TRUE
はべる	はべった	4-2	TRUE	TRUE
ひっくりかえる	ひっくりかえった	4-2	TRUE	TRUE
みかえる	みかえった	4-2	TRUE	TRUE
むせかえる	むせかえった	4-2	TRUE	TRUE
わきかえる	わきかえった	4-2	TRUE	TRUE
ひねる	ひねった	4-2	TRUE	TRUE
